Tissues,H,C,N,O,Na,P,S,Cl,Ca,Mg,K,Fe,I,Mass density (kg/m3),e/kg x 10^26,e/m3 x 10^26,,
Adipose tissue 1,11.2,51.7,1.3,35.5,0.1,0.0,0.1,0.1,,,,,,970,3.342,3241,,
Adipose tissue 2,11.4,59.8,0.7,27.8,0.1,0.0,0.1,0.1,,,,,,950,3.347,3180,,
Adipose tissue 3,11.6,68.1,0.2,19.8,0.1,0.0,0.1,0.1,,,,,,930,3.353,3118,,
Adrenal gland,10.6,28.4,2.6,57.8,0.0,0.1,0.2,0.2,,,0.1,,,1030,3.324,3424,,
Aorta,9.9,14.7,4.2,69.8,0.2,0.4,0.3,,0.4,,0.1,,,1050,3.304,3469,,
Blood-erythrocytes,9.5,19.0,5.9,64.6,0.1,,0.3,0.2,,,0.3,0.1,,1090,3.291,3588,,
Blood-plasma,10.8,4.1,1.1,83.2,0.3,,0.1,0.4,,,,,,1026,3.330,3417,,
Blood-whole,10.2,11.0,3.3,74.5,0.1,0.1,0.2,0.3,,,0.2,0.1,,1060,3.312,3511,,
Brain-cerebrospinal,11.1,,,88.0,0.5,,,0.4,,,,,,1010,3.339,3373,,
Brain-grey matter,10.7,9.5,1.8,76.7,0.2,0.3,0.2,0.3,,,0.3,,,1040,3.327,3460,,
Brain-white matter,10.6,19.4,2.5,66.1,0.2,0.4,0.2,0.3,,,0.3,,,1040,3.324,3457,,
Connective tissue,9.4,20.7,6.2,62.2,0.6,,0.6,0.3,,,,,,1120,3.288,3683,,
Eye lens,9.6,19.5,5.7,64.6,0.1,0.1,0.3,0.1,,,,,,1070,3.295,3525,,
Gallbladder-bile,10.8,6.1,0.1,82.2,0.4,,,0.4,,,,,,1030,3.330,3430,,
Gastrointestinal tract-small intestine wall,10.6,11.5,2.2,75.1,0.1,0.1,0.1,0.2,,,0.1,,,1030,3.325,3424,,
Gastrointenstinal tract - stomach,10.4,13.9,2.9,72.1,0.1,0.1,0.2,0.1,,,0.2,,,1050,3.319,3485,,
Heart 1,10.3,17.5,3.1,68.1,0.1,0.2,0.2,0.2,,,0.3,,,1050,3.315,3481,,
